ID	Pi Hat	CntProbe	SeedInit	Error	RunTime	Experiment	
208	3.1007751938	1000.0	487598	-0.0408174598	0.003831624984741211	Parallel	
209	3.164556962	1000.0	7479615	0.0229643084	0.0036318302154541016	Parallel	
210	3.2258064516	1000.0	8736694	0.084213798	0.003595113754272461	Parallel	
211	3.1847133758	1000.0	7088337	0.0431207222	0.0051610469818115234	Parallel	
212	3.1545741325	1000.0	9651166	0.0129814789	0.003840923309326172	Parallel	
213	3.1446540881	1000.0	7087135	0.0030614345	0.0031232833862304688	Parallel	
214	3.2840722496	1000.0	4178207	0.142479596	0.003136873245239258	Parallel	
215	3.0627871363	1000.0	8034220	-0.0788055173	0.0032067298889160156	Parallel	
216	3.2310177706	1000.0	658305	0.089425117	0.005172014236450195	Parallel	
217	3.120124805	1000.0	4227650	-0.0214678486	0.0043909549713134766	Parallel	
218	3.1595576619	1000.0	6838549	0.0179650083	0.005847930908203125	Parallel	
219	3.1695721078	1000.0	4022370	0.0279794542	0.006072998046875	Parallel	
220	3.1695721078	1000.0	8176478	0.0279794542	0.003854036331176758	Parallel	
221	3.1948881789	1000.0	4889063	0.0532955253	0.0033483505249023438	Parallel	
222	3.2362459547	1000.0	9930319	0.0946533011	0.003185272216796875	Parallel	
223	3.120124805	1000.0	9522259	-0.0214678486	0.0035707950592041016	Parallel	
224	3.1695721078	1000.0	344205	0.0279794542	0.003426074981689453	Parallel	
225	3.2840722496	1000.0	2285912	0.142479596	0.0036668777465820312	Parallel	
226	3.1948881789	1000.0	7768819	0.0532955253	0.0037517547607421875	Parallel	
227	3.1397174254	1000.0	5326154	-0.0018752282	0.004087924957275391	Parallel	
228	3.0211480363	1000.0	1175900	-0.1204446173	0.0030951499938964844	Parallel	
229	3.0165912519	1000.0	6653962	-0.1250014017	0.0064618587493896484	Parallel	
230	3.0211480363	1000.0	7641358	-0.1204446173	0.0033321380615234375	Parallel	
231	3.2051282051	1000.0	8514565	0.0635355515	0.0035741329193115234	Parallel	
232	3.1595576619	1000.0	6144548	0.0179650083	0.003190755844116211	Parallel	
233	3.1746031746	1000.0	6416289	0.033010521	0.003144979476928711	Parallel	
234	3.1446540881	1000.0	1479020	0.0030614345	0.003134012222290039	Parallel	
235	3.0959752322	1000.0	2720271	-0.0456174214	0.0031280517578125	Parallel	
236	3.1397174254	1000.0	1597982	-0.0018752282	0.0033409595489501953	Parallel	
237	3.1847133758	1000.0	263531	0.0431207222	0.0054149627685546875	Parallel	
238	3.2051282051	1000.0	2666152	0.0635355515	0.0034608840942382812	Parallel	
239	3.2258064516	1000.0	4662678	0.084213798	0.0033562183380126953	Parallel	
240	3.0911901082	1000.0	6192887	-0.0504025454	0.0033159255981445312	Parallel	
241	3.2	1000.0	4227869	0.0584073464	0.003242969512939453	Parallel	
242	3.0487804878	1000.0	5335049	-0.0928121658	0.0031480789184570312	Parallel	
243	3.1347962382	1000.0	7727562	-0.0067964153	0.003258228302001953	Parallel	
244	3.0303030303	1000.0	6786853	-0.1112896233	0.003175020217895508	Parallel	
245	3.2	1000.0	2876471	0.0584073464	0.003340005874633789	Parallel	
246	3.0257186082	1000.0	1622651	-0.1158740454	0.003328084945678711	Parallel	
247	3.2102728732	1000.0	5829916	0.0686802196	0.0031468868255615234	Parallel	
248	3.2	1000.0	1266634	0.0584073464	0.003155231475830078	Parallel	
249	3.1545741325	1000.0	6834182	0.0129814789	0.0040318965911865234	Parallel	
250	3.2258064516	1000.0	4573981	0.084213798	0.005815029144287109	Parallel	
251	3.1847133758	1000.0	3960634	0.0431207222	0.004458904266357422	Parallel	
252	3.0959752322	1000.0	9858113	-0.0456174214	0.003899097442626953	Parallel	
253	3.1545741325	1000.0	7547509	0.0129814789	0.0036649703979492188	Parallel	
254	3.3167495854	1000.0	4953596	0.1751569318	0.0034008026123046875	Parallel	
255	3.164556962	1000.0	1762995	0.0229643084	0.0031011104583740234	Parallel	
256	3.2310177706	1000.0	181845	0.089425117	0.0030820369720458984	Parallel	
257	3.125	1000.0	1992348	-0.0165926536	0.0030889511108398438	Parallel	
258	3.1796502385	1000.0	4805342	0.0380575849	0.0030198097229003906	Parallel	
259	3.1796502385	1000.0	3846364	0.0380575849	0.003038167953491211	Parallel	
260	3.1152647975	1000.0	9142754	-0.0263278561	0.003045797348022461	Parallel	
261	2.9985007496	1000.0	3153982	-0.143091904	0.003008127212524414	Parallel	
262	3.1298904538	1000.0	3503854	-0.0117021998	0.00302886962890625	Parallel	
263	3.1104199067	1000.0	5515905	-0.0311727469	0.003299236297607422	Parallel	
264	3.2573289902	1000.0	6882645	0.1157363366	0.0030608177185058594	Parallel	
265	3.1545741325	1000.0	9003499	0.0129814789	0.003072023391723633	Parallel	
266	3.0769230769	1000.0	2288596	-0.0646695767	0.003231048583984375	Parallel	
267	3.1152647975	1000.0	3140444	-0.0263278561	0.0032320022583007812	Parallel	
268	3.1545741325	1000.0	7349335	0.0129814789	0.0030670166015625	Parallel	
269	3.2414910859	1000.0	5070884	0.0998984323	0.0030891895294189453	Parallel	
270	3.0395136778	1000.0	2304824	-0.1020789758	0.0030510425567626953	Parallel	
271	3.2362459547	1000.0	2210347	0.0946533011	0.003041982650756836	Parallel	
272	3.1152647975	1000.0	4075002	-0.0263278561	0.003015756607055664	Parallel	
