Experiment	Seed	Pi	Error	OFTol	Significant Figures:	ID	CntProbeLmt	CntProbe	IsCensored	RunTime	
Dart	6988093	3.1415929204	3.204e-07	5e-07	6	591	15625000000	6780.0	False	0.01340627670288086	
Dart	6686053	3.1415934337	8.337e-07	5e-07	6	592	15625000000	137916.0	False	0.2757418155670166	
Dart	7392387	3.1415929204	3.204e-07	5e-07	6	593	15625000000	8136.0	False	0.016157150268554688	
Dart	1759512	3.1415934761	8.761e-07	5e-07	6	594	15625000000	111467.0	False	0.22083544731140137	
Dart	4812082	3.1415927753	1.753e-07	5e-07	6	595	15625000000	122026.0	False	0.24814391136169434	
Dart	8165457	3.1415929204	3.204e-07	5e-07	6	596	15625000000	8136.0	False	0.016028881072998047	
Dart	8279568	3.1415926502	5.02e-08	5e-07	6	597	15625000000	32763.0	False	0.06573057174682617	
Dart	8364496	3.1415931186	5.186e-07	5e-07	6	598	15625000000	401665.0	False	0.7987852096557617	
Dart	8391337	3.1415929204	3.204e-07	5e-07	6	599	15625000000	20340.0	False	0.04091787338256836	
Dart	8156945	3.1415929204	3.204e-07	5e-07	6	600	15625000000	1356.0	False	0.00344085693359375	
Dart	662473	3.1415926167	1.67e-08	5e-08	7	601	15625000000	408058.0	False	0.838547945022583	
Dart	7741226	3.1415926399	3.99e-08	5e-08	7	602	15625000000	473365.0	False	0.9470624923706055	
Dart	6936942	3.141592588	-1.2e-08	5e-08	7	603	15625000000	638960.0	False	1.2740063667297363	
Dart	2012632	3.1415926399	3.99e-08	5e-08	7	604	15625000000	94673.0	False	0.188643217086792	
Dart	1773606	3.1415925675	-3.25e-08	5e-08	7	605	15625000000	175553.0	False	0.35809803009033203	
Dart	6558789	3.1415925883	-1.17e-08	5e-08	7	606	15625000000	16763667.0	False	33.32038402557373	
Dart	7567323	3.141592607	7e-09	5e-08	7	607	15625000000	56486.0	False	0.11507606506347656	
Dart	2869359	3.1415925858	-1.42e-08	5e-08	7	608	15625000000	2433828.0	False	4.99759316444397	
Dart	824618	3.1415926176	1.76e-08	5e-08	7	609	15625000000	29578124.0	False	60.828184604644775	
Dart	3094346	3.1415926259	2.59e-08	5e-08	7	610	15625000000	60102.0	False	0.12131834030151367	
Dart	85111	3.1415926331	3.31e-08	5e-08	7	611	15625000000	184826.0	False	0.3764975070953369	
Dart	3552636	3.1415926141	1.41e-08	5e-08	7	612	15625000000	317905.0	False	0.6574537754058838	
Dart	3898507	3.1415925543	-4.57e-08	5e-08	7	613	15625000000	48350.0	False	0.09749484062194824	
Dart	277538	3.1415925912	-8.8e-09	5e-08	7	614	15625000000	134435.0	False	0.26906609535217285	
Dart	6872473	3.1415925543	-4.57e-08	5e-08	7	615	15625000000	120875.0	False	0.2497103214263916	
Dart	8320301	3.1415925618	-3.82e-08	5e-08	7	616	15625000000	197468.0	False	0.40404224395751953	
Dart	122029	3.1415925722	-2.78e-08	5e-08	7	617	15625000000	101672.0	False	0.20781350135803223	
Dart	305377	3.1415926396	3.96e-08	5e-08	7	618	15625000000	126080.0	False	0.2566239833831787	
Dart	1292376	3.1415926147	1.47e-08	5e-08	7	619	15625000000	11061382.0	False	21.996792554855347	
Dart	6663514	3.1415926117	1.17e-08	5e-08	7	620	15625000000	630838.0	False	1.3009648323059082	
Dart	5618363	3.1415926416	4.16e-08	5e-08	7	621	15625000000	126984.0	False	0.2558584213256836	
Dart	5420545	3.1415925664	-3.36e-08	5e-08	7	622	15625000000	150022.0	False	0.3040921688079834	
Dart	2456232	3.1415925751	-2.49e-08	5e-08	7	623	15625000000	1230460.0	False	2.449694871902466	
Dart	3960106	3.1415925837	-1.63e-08	5e-08	7	624	15625000000	78853.0	False	0.15627789497375488	
Dart	4062009	3.1415926386	3.86e-08	5e-08	7	625	15625000000	31407.0	False	0.06406903266906738	
Dart	4334839	3.1415925921	-7.9e-09	5e-08	7	626	15625000000	161774.0	False	0.3286285400390625	
Dart	6972719	3.1415925508	-4.92e-08	5e-08	7	627	15625000000	47898.0	False	0.09489774703979492	
Dart	8665549	3.141592569	-3.1e-08	5e-08	7	628	15625000000	1032759.0	False	2.0551693439483643	
Dart	395711	3.1415925912	-8.8e-09	5e-08	7	629	15625000000	53774.0	False	0.10782313346862793	
Dart	2046650	3.1415926019	1.9e-09	5e-08	7	630	15625000000	55582.0	False	0.11079549789428711	
Dart	1767169	3.1415926249	2.49e-08	5e-08	7	631	15625000000	658862.0	False	1.362840175628662	
Dart	904864	3.1415925967	-3.3e-09	5e-08	7	632	15625000000	27339.0	False	0.05459475517272949	
Dart	5906531	3.1415925967	-3.3e-09	5e-08	7	633	15625000000	54678.0	False	0.11145639419555664	
Dart	7198023	3.141592561	-3.9e-08	5e-08	7	634	15625000000	73881.0	False	0.15021777153015137	
Dart	2197556	3.1415926281	2.81e-08	5e-08	7	635	15625000000	60554.0	False	0.12042927742004395	
Dart	5688705	3.1415925508	-4.92e-08	5e-08	7	636	15625000000	47898.0	False	0.09775876998901367	
Dart	6580626	3.1415925737	-2.63e-08	5e-08	7	637	15625000000	76593.0	False	0.1562976837158203	
Dart	1412463	3.1415925988	-1.2e-09	5e-08	7	638	15625000000	1678979.0	False	3.3388280868530273	
